date,kwh_m2_day
20150101,6.9924
20150102,8.5807
20150103,6.9492
20150104,7.691
20150105,8.6753
20150106,8.9419
20150107,7.4887
20150108,3.7958
20150109,2.3671
20150110,3.3878
20150111,6.121
20150112,8.2438
20150113,3.143
20150114,4.2317
20150115,4.7825
20150116,8.5714
20150117,8.208
20150118,5.8649
20150119,8.37
20150120,5.3412
20150121,7.1878
20150122,7.5571
20150123,7.9522
20150124,8.7986
20150125,7.0406
20150126,6.5196
20150127,6.4764
20150128,7.9121
20150129,7.6226
20150130,6.9463
20150131,6.0242
20150201,4.7098
20150202,6.8023
20150203,8.0818
20150204,6.683
20150205,8.3808
20150206,7.6822
20150207,5.0126
20150208,6.5239
20150209,8.3779
20150210,8.2346
20150211,6.689
20150212,6.7001
20150213,4.4138
20150214,6.5522
20150215,7.3186
20150216,7.6687
20150217,5.0693
20150218,3.6245
20150219,7.4777
20150220,6.665
20150221,6.8707
20150222,5.6016
20150223,3.2609
20150224,6.0838
20150225,6.4315
20150226,5.6554
20150227,6.475
20150228,3.8712
20150301,5.8188
20150302,5.9662
20150303,6.5664
20150304,6.6298
20150305,6.6823
20150306,3.7015
20150307,4.6433
20150308,6.2285
20150309,5.1019
20150310,6.6365
20150311,6.7104
20150312,5.7298
20150313,6.1937
20150314,5.7478
20150315,5.7816
20150316,3.9953
20150317,2.8051
20150318,3.5179
20150319,4.8259
20150320,5.0311
20150321,6.2558
20150322,5.8992
20150323,2.5798
20150324,3.1298
20150325,4.6637
20150326,4.0282
20150327,3.217
20150328,4.7693
20150329,5.7062
20150330,5.2409
20150331,5.5476
20150401,3.4817
20150402,5.3268
20150403,5.2385
20150404,4.692
20150405,3.1846
20150406,2.892
20150407,1.5931
20150408,3.4008
20150409,3.9871
20150410,4.8317
20150411,4.4726
20150412,3.8566
20150413,4.7398
20150414,2.9542
20150415,4.4047
20150416,3.2069
20150417,2.0801
20150418,3.3439
20150419,3.5071
20150420,3.8909
20150421,3.8069
20150422,2.3275
20150423,2.4367
20150424,2.2061
20150425,1.4983
20150426,2.6299
20150427,2.3594
20150428,2.3842
20150429,3.3907
20150430,3.7258
20150501,3.8527
20150502,2.1826
20150503,3.3305
20150504,3.6742
20150505,2.5344
20150506,2.3318
20150507,2.3575
20150508,1.8134
20150509,2.0556
20150510,2.1154
20150511,2.245
20150512,2.0462
