date,kwh_m2_day
20150513,2.6167
20150514,2.0863
20150515,1.7129
20150516,3.2906
20150517,3.4169
20150518,3.3883
20150519,1.0414
20150520,2.0263
20150521,1.7995
20150522,1.8934
20150523,2.933
20150524,2.6892
20150525,2.4991
20150526,1.722
20150527,2.2411
20150528,2.4305
20150529,1.9454
20150530,2.1499
20150531,1.5895
20150601,2.4425
20150602,1.4822
20150603,1.6344
20150604,1.6159
20150605,1.5677
20150606,1.6462
20150607,1.5602
20150608,1.9037
20150609,2.2793
20150610,1.6471
20150611,2.7178
20150612,2.5728
20150613,2.2219
20150614,2.2858
20150615,1.8588
20150616,0.9149
20150617,1.1345
20150618,1.2329
20150619,1.6862
20150620,1.9373
20150621,2.8198
20150622,1.631
20150623,2.1031
20150624,1.897
20150625,1.7717
20150626,2.0448
20150627,1.4446
20150628,1.6769
20150629,1.8372
20150630,1.6493
20150701,1.4011
20150702,2.2387
20150703,1.705
20150704,1.11
20150705,2.4502
20150706,1.08
20150707,1.8766
20150708,1.8994
20150709,1.1431
20150710,1.764
20150711,0.7481
20150712,0.8566
20150713,1.5818
20150714,1.2379
20150715,1.673
20150716,2.107
20150717,1.7419
20150718,2.0482
20150719,3.017
20150720,2.9585
20150721,2.1893
20150722,1.812
20150723,2.3371
20150724,1.6639
20150725,1.8276
20150726,2.453
20150727,2.531
20150728,2.688
20150729,2.0822
20150730,1.6601
20150731,3.492
20150801,1.595
20150802,2.6549
20150803,2.683
20150804,2.0904
20150805,2.5498
20150806,2.0616
20150807,2.0551
20150808,1.8463
20150809,2.1331
20150810,2.9222
20150811,2.8994
20150812,1.9625
20150813,2.2939
20150814,2.1
20150815,2.7043
20150816,3.0067
20150817,2.993
20150818,2.459
20150819,2.8447
20150820,3.8155
20150821,2.1725
20150822,3.3852
20150823,3.438
20150824,3.0598
20150825,2.3966
20150826,2.7134
20150827,2.0657
20150828,2.9722
20150829,2.8212
20150830,2.8826
20150831,3.8645
20150901,4.8706
20150902,2.4614
20150903,2.4554
20150904,3.6463
20150905,3.8014
20150906,2.3998
20150907,3.4015
20150908,3.7097
20150909,3.3187
20150910,3.1567
20150911,5.3455
20150912,3.2758
20150913,5.3779
20150914,5.443
20150915,4.1246
20150916,3.571
20150917,3.179
20150918,2.9482
20150919,4.7743
20150920,5.3191
20150921,3.0022
20150922,4.4808
20150923,5.0568
20150924,4.8017
20150925,6.0144
20150926,6.0708
20150927,6.0588
20150928,4.2521
20150929,4.5535
20150930,4.8569
20151001,6.2705
20151002,6.3247
20151003,6.461
20151004,6.6223
20151005,6.3948
20151006,6.0581
20151007,6.8558
20151008,6.9319
20151009,5.987
20151010,4.6438
20151011,5.2368
20151012,3.5774
20151013,7.133
20151014,7.2334
20151015,6.4337
20151016,3.3691
20151017,6.3058
20151018,7.0776
20151019,7.6399
20151020,4.1316
20151021,2.7156
20151022,3.6845
20151023,6.4488
20151024,7.0054
20151025,5.5478
20151026,4.1897
20151027,8.0208
20151028,6.9854
20151029,6.5712
20151030,5.9918
20151031,4.4837
20151101,3.7963
20151102,3.8033
20151103,6.9792
20151104,4.4945
20151105,4.6162
20151106,3.4363
20151107,7.3433
20151108,6.9077
20151109,7.4664
20151110,2.7175
20151111,5.6702
20151112,6.3646
20151113,6.1882
20151114,6.0377
20151115,8.2272
20151116,8.4324
20151117,7.6968
20151118,8.4086
20151119,6.9343
20151120,3.4949
20151121,7.3997
20151122,8.7197
20151123,6.5784
20151124,8.9465
20151125,5.7965
20151126,7.4762
20151127,5.286
20151128,8.5289
20151129,5.232
20151130,7.6654
20151201,7.0428
20151202,8.1938
20151203,9.0876
20151204,9.1721
20151205,7.9075
20151206,5.0863
20151207,3.3401
20151208,7.2984
20151209,8.2781
20151210,8.6558
20151211,6.5098
20151212,8.2877
20151213,8.1809
20151214,8.8387
20151215,8.1382
20151216,9.4277
20151217,9.4382
20151218,8.1919
20151219,7.3358
20151220,4.8768
20151221,7.1873
20151222,8.6141
20151223,8.6674
20151224,8.8966
20151225,9.3526
20151226,6.444
20151227,6.6926
20151228,9.3934
20151229,9.5179
20151230,8.8966
20151231,7.8473
