iter	RMSE
120	0.6465293369
121	0.6461659131
122	0.6457350584
123	0.6454599963
124	0.6451783571
125	0.6449818573
126	0.6447042628
127	0.6442618636
128	0.6439281871
129	0.6435969406
130	0.6432420094
131	0.6429362599
132	0.6426866961
133	0.6422836795
134	0.641948674
135	0.6415007156
136	0.6410976928
137	0.6408004453
138	0.6403741199
139	0.6402752071
140	0.6398777769
141	0.639700151
142	0.6393096485
143	0.6390816936
144	0.6387709318
145	0.6385345901
146	0.6382314747
147	0.6380660817
148	0.6378138334
149	0.6375200142
150	0.6373132465
151	0.6369940048
152	0.6367335854
153	0.6362620021
154	0.6361410168
155	0.6359960972
156	0.6357079015
157	0.6355062039
158	0.6352497983
159	0.6350936153
160	0.6348745662
161	0.6344984039
162	0.6342139281
163	0.634122876
164	0.6338845594
165	0.6336547728
166	0.6334747126
167	0.6331449921
168	0.6329018848
169	0.6326091891
170	0.6323211781
171	0.6320697521
172	0.6317910491
173	0.6315652409
174	0.6312928854
175	0.6311499711
176	0.6310566755
177	0.6308621616
178	0.6306651303
179	0.6305027663
180	0.6300750332
181	0.6298180628
182	0.6296190956
183	0.6294524008
184	0.6291555184
185	0.6288032621
186	0.6285275842
187	0.6281914587
188	0.6274097068
189	0.6272525331
190	0.6268592211
191	0.6266299864
192	0.6264983715
193	0.6262006136
194	0.6260271696
195	0.6258317867
196	0.6254331181
197	0.6252634344
198	0.6250810404
199	0.6249504585
200	0.6247567719
201	0.6245244744
202	0.6242753438
203	0.6240214011
204	0.6237327886
205	0.6236318187
206	0.6233694891
207	0.6231811667
208	0.6229321121
209	0.6226681552
210	0.6224363058
211	0.6219606585
212	0.6215965595
213	0.621485352
214	0.621195115
215	0.6210345147
216	0.6208399209
217	0.6205771112
218	0.6204291473
219	0.6202121008
220	0.620004371
221	0.6197794546
222	0.6196040434
223	0.6193175081
224	0.6191318515
225	0.6190364355
226	0.6187321826
227	0.6186062398
228	0.6184980446
229	0.6183254652
230	0.6181358254
231	0.6177936973
232	0.617355151
233	0.6171586555
234	0.6169212891
235	0.6166771606
236	0.616538111
237	0.6162940851
238	0.6159679358
239	0.6155324364
240	0.6154343392
241	0.6152943855
242	0.6151170456
243	0.6147829556
244	0.6146174039
245	0.6143726102
246	0.6139610594
247	0.6137529921
248	0.6136472719
249	0.6135451589
250	0.6133089303
251	0.6132005738
252	0.6131356355
253	0.6129053285
254	0.6127224059
255	0.6125170193
256	0.6123448975
257	0.6121200296
258	0.6119122997
259	0.6117331764
260	0.6114080877
261	0.6111799529
262	0.6109566585
263	0.6108067265
264	0.6107389311
265	0.6105234991
266	0.6104260942
267	0.6103107185
268	0.6102037796
269	0.6099230177
270	0.6093470874
271	0.6091853123
272	0.6089692147
273	0.6087834394
274	0.6086148501
275	0.6084626842
276	0.6081721653
277	0.6080166633
278	0.6079104086
279	0.607693502
280	0.6075599159
281	0.6072906089
282	0.6071268353
283	0.6069609019
284	0.606726092
285	0.6064972245
286	0.6064377389
287	0.6063119652
288	0.6060816673
289	0.6058937046
290	0.6058312176
291	0.6055298071
292	0.605243223
293	0.6049096193
294	0.6046759631
295	0.604472792
296	0.6042982524
297	0.604133421
298	0.6038059419
299	0.6036369873
300	0.6035009557
301	0.603172237
302	0.6029208571
303	0.6026307328
304	0.602357225
305	0.6022430236
306	0.6019164855
307	0.6017109278
308	0.601237815
309	0.6010268546
310	0.6009095649
311	0.6004628916
312	0.600179234
313	0.600041505
314	0.5996887603
315	0.5994509551
316	0.5992833736
317	0.5990372096
318	0.5988105085
319	0.5985645228
320	0.5983348576
321	0.5981815194
322	0.5978716929
323	0.5977290178
324	0.5973837061
325	0.5973073603
326	0.5971851682
327	0.5970943972
328	0.5968143395
329	0.5966879404
330	0.5964956042
331	0.5962542496
332	0.5959921258
333	0.5958536605
334	0.5954888796
335	0.5951531065
336	0.594912876
337	0.594809357
338	0.5947223605
339	0.5943778282
340	0.5939967611
341	0.5937246716
342	0.59333819
343	0.5930398486
344	0.5927801303
345	0.5925245087
346	0.5923238439
347	0.5919537028
348	0.5917566146
349	0.5914721805
350	0.5912116287
351	0.5910080041
352	0.5907459706
353	0.5905217028
354	0.5901950707
355	0.5898390085
356	0.589436128
357	0.5890670341
358	0.5888389913
359	0.5885529737
360	0.5884066773
361	0.5880323969
362	0.5877150174
363	0.5874771639
364	0.5871810531
365	0.5867810191
366	0.5865858865
367	0.5862641672
368	0.5859746609
369	0.5858170841
370	0.5856509383
371	0.5852989651
372	0.5851088147
373	0.5849647263
374	0.5847450769
375	0.5843990417
376	0.584169581
377	0.5838081597
378	0.5835507603
379	0.5832998806
380	0.583025333
381	0.5827967965
382	0.5825935604
383	0.5822814489
384	0.5821292428
385	0.5818667423
386	0.5815819098
387	0.581322457
388	0.5810555015
389	0.5808411429
390	0.5806871239
391	0.5803343843
392	0.5800604638
393	0.5798779339
394	0.5794261328
395	0.5792080068
396	0.5790177341
397	0.5786581439
398	0.5784148076
399	0.5781829135
9250679
