iter	RMSE
228	0.7393086839
229	0.7391064956
230	0.7389417799
231	0.738774795
232	0.7384338185
233	0.7379782309
234	0.7377799817
235	0.7376138274
236	0.7373982042
237	0.7367624022
238	0.7365697127
239	0.7363547939
240	0.736144713
241	0.7356826149
242	0.7353859611
243	0.7352327977
244	0.7349402219
245	0.7348975414
246	0.7345572323
247	0.7343439738
248	0.7339864609
249	0.733799138
250	0.7336327591
251	0.7333978144
252	0.7332182786
253	0.7330791808
254	0.732869999
255	0.7325709944
256	0.7322745991
257	0.7320243886
258	0.7318666418
259	0.7316531164
260	0.7313847502
261	0.7312118543
262	0.730881944
263	0.7305610039
264	0.7302906559
265	0.7301017755
266	0.7295347032
267	0.7292323899
268	0.7288225591
269	0.7284871799
270	0.728065487
271	0.7278534375
272	0.7276431906
273	0.7274510303
274	0.7272147776
275	0.7270301008
276	0.7267996567
277	0.7264667928
278	0.726056337
279	0.7256417362
280	0.7251470922
281	0.7248015481
282	0.7246748865
283	0.7244524171
284	0.7243307048
285	0.7241837283
286	0.7238649639
287	0.7237255831
288	0.7233826108
289	0.7232289536
290	0.7230755419
291	0.7228076676
292	0.7225894733
293	0.7224398902
294	0.7222534595
295	0.7219578531
296	0.7216312176
297	0.7214532058
298	0.7212412724
299	0.7210044377
300	0.7206675695
301	0.7203888663
302	0.72007025
303	0.7195846924
304	0.7193970907
305	0.7192321015
306	0.7189621941
307	0.7188331425
308	0.7183100278
309	0.7181154899
310	0.7178884272
311	0.7177018972
312	0.7173880481
313	0.7171038849
314	0.7169901147
315	0.7167206627
316	0.7166223229
317	0.7162791574
318	0.7160046356
319	0.7155035561
320	0.7150900242
321	0.714955643
322	0.7147420028
323	0.7143448659
324	0.714168325	0325	0.7138699403
326	0.7134623501
327	0.7133313296
328	0.7126140406
329	0.7124537152
330	0.7123400941
331	0.7121505746
332	0.7117983762
333	0.7114038825
334	0.7113349375
335	0.7111204455
336	0.7108765706
337	0.7107112762
338	0.710478798
339	0.7102573946
340	0.7099783945
341	0.7098492928
342	0.7096241271
343	0.7094382557
344	0.7091912754
345	0.7089644536
346	0.7085878046
347	0.7083314436
348	0.7081352148
349	0.7080324423
350	0.7077949544
351	0.7075828546
352	0.7073598625
353	0.7071608888
354	0.7070079793
355	0.7067945603
356	0.7065998228
357	0.7064667816
358	0.7062587044
359	0.7061183892
360	0.7058720765
361	0.7057055637
362	0.7054773423
363	0.7051717348
364	0.704914845
365	0.7047145398
366	0.7043083549
367	0.7041828219
368	0.7040341277
369	0.7038070513
370	0.7035006809
371	0.7031724849
372	0.7030250663
373	0.7027548222
374	0.7025777258
375	0.7022341971
376	0.70204806
377	0.7017814149
378	0.7016446612
379	0.7014104767
380	0.701066808
381	0.7008866628
382	0.7006788423
383	0.7004153841
384	0.700240896
385	0.7000907903
386	0.6999748663
387	0.6994906708
388	0.6993714705
389	0.6991591457
390	0.698749614
391	0.6986273724
392	0.6983771489
393	0.6980434505
394	0.6978318114
395	0.6975254404
396	0.6973500951
397	0.6970295514
398	0.6967371188
399	0.696532262
55
