Postcode, '<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW','<2.5kW','2.5–4.5','4.5–6.5','6.5–9.5','9.5–14','14–25','25–50','50–100','100kW–5MW','5MW–30MW','30+ MW'
3000,13.600000000000001,18.19,100.39999999999999,48.951,119.35,229.07000000000002,636.96,2289.3399999999997,0,0,0
3002,29.534000000000002,68.99,190.86500000000004,78.28000000000002,126.56,73.53,211.76,268.06,0,0,0
3003,35.45,95.03,168.82,104.49,107.5,181.82000000000005,454.645,828.1,100,0,0
3006,2.08,9.370000000000001,20.68,34.65,45.175,161.08,514.885,706.24,956.0999999999999,0,0
3008,98.415,10.370000000000001,10.4,93.1,34.480000000000004,99.675,439.14000000000004,1283.3549999999998,920.6999999999999,0,0
3011,505.57599999999996,895.2290000000005,1465.0549999999996,1745.745,885.5450000000001,713.4549999999999,938.45,1593.145,329.5,0,0
3013,521.319,943.0430000000001,1477.4750000000006,2239.4349999999995,1275.7400000000002,387.1550000000001,343.33000000000004,649.1,0,0,0
3016,580.806,1257.0320000000004,1824.2649999999996,2132.64,1528.9449999999997,682.7900000000001,866.995,568.38,0,0,0
3015,592.2030000000001,1343.5870000000007,1974.334999999999,2454.0049999999997,1476.0800000000004,429.36499999999995,493.5850000000001,516.6049999999999,478.4,0,0
3031,442.54499999999996,866.3840000000007,1165.3880000000004,1020.8500000000001,527.7999999999998,353.59499999999997,712.7249999999999,815.6199999999999,198.2,0,0
3032,682.8259999999998,1465.4440000000004,2441.9700000000003,3203.2999999999997,1746.7049999999997,678.8100000000001,250.02499999999998,650.18,469.8,0,0
3051,106.49500000000003,302.4699999999999,311.6489999999999,268.10499999999996,190.55,356.06500000000005,477.285,262.85,268.9,0,0
3052,51.384,100.105,193.49,176.01999999999998,126.55,202.45499999999998,437.91499999999996,823.43,271,0,0
3053,75.98500000000001,142.81499999999997,187.31000000000003,144.46999999999997,151.68,270.21500000000003,482.31500000000005,690.1199999999999,533.3,0,0
3054,202.66000000000003,482.0279999999999,630.9600000000002,382.9700000000001,175.815,170.63000000000002,170.93999999999997,157.85,0,0,0
3055,378.59099999999995,750.632,1207.8850000000004,1277.465,808.4100000000003,288.74,148.5,53.46,0,0,0
3056,759.4890000000004,1316.5719999999992,2038.4299999999998,1975.1050000000005,994.4150000000001,1007.01,1247.2150000000001,1433.4850000000001,1347.9,0,0
3057,255.81700000000006,623.7990000000003,715.9950000000001,934.0850000000002,634.7900000000001,484.87,400.45000000000005,129.4,0,0,0
3065,178.89600000000004,285.419,446.3699999999999,370.4850000000001,316.485,171.22,310.33,257.59,100,0,0
3066,109.43499999999997,185.955,286.7249999999999,246.09499999999994,209.48500000000004,322.8399999999999,590.0799999999999,726.88,0,0,0
3067,94.911,264.36500000000007,386.2250000000001,277.025,287.4799999999999,427.7249999999999,320.28000000000003,430.9,0,0,0
3068,540.7710000000001,1251.9020000000005,1780.905999999999,1483.2349999999997,841.285,308.70500000000004,387.03,489.12,0,0,0
3070,1018.8710000000001,2374.275,3144.998000000001,3315.9849999999988,2158.3199999999997,523.6449999999999,300.835,442.89,0,0,0
3121,508.12400000000025,1074.7340000000002,1397.3460000000002,1206.9799999999998,632.795,868.3800000000001,1130.955,1017.6849999999998,1646.1,0,0
3141,129.62999999999997,334.64799999999985,526.1800000000001,612.15,440.42499999999995,369.98999999999995,294.77,308.71,0,0,0
3181,204.92399999999995,416.7649999999999,761.2900000000001,677.5000000000003,422.735,426.51,483.71500000000003,113.97,0,0,0
3205,109.16600000000004,310.5939999999999,482.2150000000002,369.009,187.7,370.315,541.74,488.74,234.1,0,0
3206,199.843,502.37599999999986,652.375,544.0750000000002,460.2750000000001,242.98,224.20499999999998,125.55,0,0,0
3207,182.457,458.8099999999997,729.3099999999998,627.77,514.4549999999999,567.095,1212.8499999999997,2802.605,2237.8,0,0
