structure_id,total_roof_area,usable_roof_area,dominant_rating,solar_score_avg,roof_patch_count,excellent_area,usable_ratio
801399,168.0,168.0,Good,4.0,1,0.0,1.0
801400,388.0,388.0,Good,4.4,5,340.0,1.0
801402,88.0,80.0,Moderate,3.5,2,0.0,0.909
801403,28.0,12.0,Moderate,3.5,2,0.0,0.429
801404,8.0,0.0,Moderate,3.0,1,0.0,0.0
801405,112.0,112.0,Excellent,5.0,1,112.0,1.0
801406,68.0,12.0,Moderate,3.5,2,0.0,0.176
801407,92.0,36.0,Moderate,3.12,8,0.0,0.391
801408,8.0,8.0,Excellent,5.0,1,8.0,1.0
801409,24.0,24.0,Good,4.0,1,0.0,1.0
801410,288.0,84.0,Good,3.3,10,4.0,0.292
801411,80.0,80.0,Good,4.5,2,76.0,1.0
801412,332.0,312.0,Excellent,4.38,8,288.0,0.94
801413,196.0,172.0,Good,3.56,9,0.0,0.878
801414,152.0,152.0,Good,4.43,7,108.0,1.0
801415,164.0,124.0,Good,3.73,11,24.0,0.756
801416,104.0,104.0,Excellent,5.0,1,104.0,1.0
801417,24.0,24.0,Good,4.0,2,0.0,1.0
801418,96.0,88.0,Good,4.0,6,68.0,0.917
801419,132.0,132.0,Good,4.0,4,0.0,1.0
801420,44.0,44.0,Good,4.4,5,8.0,1.0
801421,460.0,460.0,Good,4.33,3,452.0,1.0
801422,268.0,268.0,Excellent,5.0,1,268.0,1.0
801424,3328.0,2552.0,Good,3.71,56,8.0,0.767
801425,2256.0,2032.0,Good,3.28,29,1360.0,0.901
801426,460.0,88.0,Moderate,2.7,10,0.0,0.191
801427,4328.0,3568.0,Good,3.29,80,2040.0,0.824
801428,1308.0,1268.0,Good,4.0,18,872.0,0.969
801429,588.0,228.0,Moderate,3.37,19,0.0,0.388
801430,92.0,52.0,Moderate,3.6,5,48.0,0.565
801431,204.0,140.0,Moderate,3.78,9,24.0,0.686
801432,64.0,0.0,Very Poor,1.17,6,0.0,0.0
801434,160.0,136.0,Good,4.0,9,20.0,0.85
801435,104.0,104.0,Excellent,5.0,1,104.0,1.0
801437,60.0,48.0,Good,4.25,8,24.0,0.8
801438,1252.0,332.0,Very Poor,2.14,56,0.0,0.265
801439,476.0,428.0,Poor,3.0,2,0.0,0.899
801440,36.0,28.0,Good,3.67,3,0.0,0.778
801442,344.0,200.0,Moderate,3.5,18,76.0,0.581
801443,76.0,20.0,Excellent,4.0,3,12.0,0.263
801446,36.0,36.0,Good,4.0,3,0.0,1.0
801447,664.0,0.0,Poor,2.0,2,0.0,0.0
